ID,media_genre,media_name
71,Action,911 Lone Star
57,Action,Adventure Time
121,Action,Adventure Time
3,Action,Arcane
28,Action,Arcane
119,Action,Arcane
99,Action,Buffy The Vampire Slayer
113,Action,First Kill
115,Action,Game Of Thrones
93,Action,Jojos Bizarre Adventure
1,Action,Jujutsu Kaisen
58,Action,Killing Eve
68,Action,Killing Eve
76,Action,Night Agent
27,Action,Old Guard
17,Action,Owl House
8,Action,Prime Suspect
121,Action,She-Ra
62,Action,Survivors
100,Action,The Last Of Us
151,Action,The Old Guard
60,Action,The Squid Game
114,Action,The Walking Dead
169,Action,The Wilds
158,Comedy,A League Of Their Own
167,Comedy,Beverly Hills Cop
65,Comedy,Big Boys
160,Comedy,Bob's Burgers
57,Comedy,Bojack Horseman
151,Comedy,Booksmart
47,Comedy,Bottoms
24,Comedy,Bottoms
57,Comedy,Broad City
174,Comedy,Broad City
24,Comedy,Brooklyn Nine-Nine
106,Comedy,Brooklyn Nine-Nine
68,Comedy,Brooklyn Nine-Nine
34,Comedy,Bros
140,Comedy,Bros
27,Comedy,Derry Girls
158,Comedy,Dickinson
43,Comedy,Eastsiders
77,Comedy,Family Guy
58,Comedy,Feel Good
113,Comedy,Feel Good
92,Comedy,Ghosts
174,Comedy,Hacks
152,Comedy,Heartstopper
4,Comedy,I Love You Phillip Morris
126,Comedy,I'm A Cheerleader
7,Comedy,Inside Out
139,Comedy,It's Always Sunny In Philedelphia
166,Comedy,Love Victor
16,Comedy,Modern Family
107,Comedy,Modern Family
12,Comedy,Modern Family
95,Comedy,Modern Family
58,Comedy,One Day At A Time
59,Comedy,One Day At A Time
158,Comedy,Orange Is The New Black
92,Comedy,Our Flag Means Death
12,Comedy,Rocky Horror
127,Comedy,Schitt's Creek
170,Comedy,Schitt's Creek
106,Comedy,Schitt's Creek
75,Comedy,Schitt's Creek
169,Comedy,Schitt’s Creek
174,Comedy,Schitt’s Creek
60,Comedy,Sex Education
95,Comedy,Sex Education
17,Comedy,Smiley
96,Comedy,Superstore
113,Comedy,Superstore
151,Comedy,The Birdcage
38,Comedy,The Birdcage
145,Comedy,The Birdcage
153,Comedy,The Connor’s
158,Comedy,The Fosters
59,Comedy,The Good Place
134,Comedy,The Great
14,Comedy,The Half Of It
54,Comedy,The Other Two
150,Comedy,The Sex Lives Of College Girls
36,Comedy,The Steve Harvey Show
106,Comedy,This Flag Means Death
81,Comedy,What We Do In The Shadows
162,Comedy,What We Do In The Shadows
92,Comedy,What We Do In The Shadows
167,Comedy,Will And Grace
125,Comedy,Will And Grace
152,Comedy,Xo Kitty
158,Documentary,A Secret Love
169,Documentary,Disclosure
38,Documentary,Paris Is Burning
85,Documentary,Paris Is Burning
12,Documentary,Portrait of Jackson
14,Documentary,Stand Out
12,Documentary,Su Friedrich
105,Drama,911
95,Drama,Another Life
125,Drama,Billions
17,Drama,Boys Don't Cry
100,Drama,Bridgerton
123,Drama,Brokeback Mountain
151,Drama,Call Me By Your Name
54,Drama,Carol
113,Drama,Dear White People
98,Drama,Desperate Housewives
62,Drama,Elite
99,Drama,Euphoria
174,Drama,Euphoria
58,Drama,Euphoria
27,Drama,Euphoria
43,Drama,Glamorous
6,Drama,Grey's Anatomy
98,Drama,Greys Anatomy
105,Drama,Greys Anatomy
113,Drama,Heartstopper
119,Drama,House Of Hummingbird
36,Drama,House Of Zwide
113,Drama,I Am Not Ok With This
174,Drama,I May Destroy You
134,Drama,Interview With The Vampire (Tv Series)
36,Drama,Isitha
38,Drama,Isitha
85,Drama,It's A Sin
92,Drama,Its A Sin
113,Drama,Killing Eve
19,Drama,Looking
151,Drama,Moonlight
12,Drama,Moonlight
4,Drama,Orange Is The New Black
75,Drama,Orange Is The New Black
86,Drama,Oz
57,Drama,Portrait Of A Lady On Fire
24,Drama,Portrait Of A Lady On Fire
152,Drama,Pose
169,Drama,Pose
170,Drama,Pose
58,Drama,Pose
85,Drama,Pose
150,Drama,Pose
138,Drama,Revenge
36,Drama,Scandal
166,Drama,Schitt's Creek
27,Drama,Sex Education
56,Drama,Squid Game
24,Drama,The Handmaiden
135,Drama,The Handmaids Tale
89,Drama,The L Word
150,Drama,The L Word
90,Drama,The L Word
141,Drama,The L Word
158,Drama,The L Word
174,Drama,The Last Of Us
126,Drama,The Miseducation Of Cameron Post
113,Drama,The Sandman
174,Drama,The White Lotus
41,Drama,Uzalo
146,Drama,Veneno
105,Drama,Vigil
86,Drama,Wentworth
174,Drama,Yellowjackets
30,Drama,Yellowjackets
36,Reality,America's Got Talent
150,Reality,Are You The One
159,Reality,Below Deck
62,Reality,Big Brother
98,Reality,Big Brother
152,Reality,Bling Empire
107,Reality,I Kissed A Girl
151,Reality,I Kissed A Girl
68,Reality,I Kissed A Girl/ I Kissed A Boy
151,Reality,Love Allways
90,Reality,Married At First Sight
53,Reality,Next In Fashion
3,Reality,Queer Eye
6,Reality,Queer Eye
69,Reality,Queer Eye
89,Reality,Queer Eye
127,Reality,Queer Eye
174,Reality,Queer Eye
4,Reality,Queer Eye
58,Reality,Queer Eye
85,Reality,RuPaul's Drag Race
99,Reality,RuPaul's Drag Race
25,Reality,Rupaul's Drag Race
72,Reality,Rupaul's Drag Race
113,Reality,Rupaul's Drag Race
27,Reality,Rupauls Drag Race
66,Reality,Rupauls Drag Race
4,Reality,Rupauls Drag Race
58,Reality,Rupauls Drag Race
169,Reality,Rupaul’s Drag Race
159,Reality,Survivor
65,Reality,Tampa Baes
98,Reality,The Traitors
8,Reality,The Traitors
10,Reality,The Tryguys
150,Reality,The Ultimatum: Queer Love
90,Reality,The Ultimatum: Queer Love
24,Reality,The Ultimatum: Queer Love
126,Reality,The Ultimatum: Queer Love
153,Reality,Vanderpump Rules
38,Romance,Call Me By Your Name
151,Romance,Carol
89,Romance,First Kill
47,Romance,Happiest Season
64,Romance,Heartsopper And Heaven's Official Blessing
19,Romance,Heartstopper
30,Romance,Heartstopper
54,Romance,Heartstopper
59,Romance,Heartstopper
65,Romance,Heartstopper
68,Romance,Heartstopper
69,Romance,Heartstopper
72,Romance,Heartstopper
81,Romance,Heartstopper
98,Romance,Heartstopper
113,Romance,Heartstopper
150,Romance,Heartstopper
169,Romance,Heartstopper
174,Romance,Heartstopper
58,Romance,Heartstopper
27,Romance,Heartstopper
17,Romance,Heartstopper
152,Romance,Heartstopper
122,Romance,Love Simon
58,Romance,Love Victor
43,Romance,Moonlight
75,Romance,Queen Charlotte
27,Romance,"Red, White & Royal Blue"
17,Romance,"Red, White & Royal Blue"
85,Romance,Sense8
123,Romance,Tangerine
126,Romance,The Handmaiden
14,Romance,The L Word
59,Scifi,Agatha All Along
95,Scifi,Arcane
130,Scifi,Babylon 5
17,Scifi,Black Mirror
30,Scifi,Buffy The Vampire Slayer
108,Scifi,Castlevania
172,Scifi,Doctor Who
65,Scifi,Doctor Who
66,Scifi,Doctor Who
135,Scifi,Doctor Who
114,Scifi,Firefly
141,Scifi,First Kill
92,Scifi,Good Omens
7,Scifi,His Dark Materials
174,Scifi,Interview With The Vampire
158,Scifi,Lost Girl
169,Scifi,Moonlight
113,Scifi,Nimona
54,Scifi,Sense8
100,Scifi,Sense8
58,Scifi,Sense8
160,Scifi,Shadow And Bone
6,Scifi,She-Ra
10,Scifi,She-Ra
167,Scifi,Star Trek
92,Scifi,Star Trek: Deep Space Nine
114,Scifi,Supernatural
150,Scifi,The 100
137,Scifi,The 100
58,Scifi,The Owl House
10,Scifi,The Owl House
119,Scifi,The Owl House
121,Scifi,The Owl House
30,Scifi,The Society
137,Scifi,The Walking Dead
60,Scifi,True Blood
158,Scifi,Wynonna Earp
72,Other,American Horror Story
115,Other,Demon Slayer
141,Other,Interview With The Vampire
46,Other,Rent
1,Other,Saint Maude
28,Other,The Haunting of Bly Manor
100,Other,The Owl House
145,Other,Tokyo Godfathers
166,Other,Will And Grace
